step,Activations/actor/compressor.2/dead_ratio,Activations/actor/compressor.2/mean,Activations/actor/compressor.2/std,Activations/actor/decoder.2/dead_ratio,Activations/actor/decoder.2/mean,Activations/actor/decoder.2/std,Activations/actor/decompressor.1/dead_ratio,Activations/actor/decompressor.1/mean,Activations/actor/decompressor.1/std,Activations/actor/encoder.2/dead_ratio,Activations/actor/encoder.2/mean,Activations/actor/encoder.2/std,Activations/actor/encoder.6/dead_ratio,Activations/actor/encoder.6/mean,Activations/actor/encoder.6/std,Episode/action_mean,Episode/action_std,Episode/actor_loss,Episode/best_reward,Episode/critic_loss,Episode/dpdx_max,Episode/dpdx_mean,Episode/dpdx_min,Episode/noise_scale,Episode/q_value,Episode/reward,Episode/spatial_loss,Episode/steps,Episode/temporal_loss,Episode/zero_loss,Gradients/Actor/global_norm,Gradients/Actor/gnn_grad_norm,Gradients/Actor/is_exploding,Gradients/Actor/is_vanishing,Gradients/Critic/global_norm,Gradients/Critic/is_exploding,Gradients/Critic/is_vanishing,Training/actor_lr,Training/critic_lr,Training/gradient_clip,Weights/Actor/gnn_weight_norm
1,,,,,,,,,,,,,,,,-0.29006096720695496,0.4577651619911194,,-1953.9700927734375,,-0.0012869418133050203,-0.008756732568144798,-11.834807395935059,0.09942600876092911,,-1953.9700927734375,,1801.0,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,-0.29036590456962585,0.4599685072898865,,1276.1248779296875,,-0.0010724186431616545,-0.0012240285286679864,-0.0014022135874256492,0.09885530918836594,,1276.1248779296875,,1801.0,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,-0.29016348719596863,0.45915964245796204,,1320.17822265625,,-0.0010351956589147449,-0.0011212944518774748,-0.0012378414394333959,0.09828788787126541,,1320.17822265625,,1801.0,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,-0.3109264075756073,0.36796829104423523,0.5201243162155151,,1938.0782470703125,-0.000955227529630065,-0.005102258175611496,-0.010755214840173721,0.09772372245788574,0.9425844550132751,-386.8968811035156,0.039888978004455566,1801.0,0.11498550325632095,0.10639137029647827,,,,,,,,,,,
5,,,,,,,,,,,,,,,,-0.33081305027008057,0.4359857141971588,-0.28950414061546326,,1937.864990234375,-0.006493250373750925,-0.008522660471498966,-0.010864709503948689,0.09716279804706573,1.4201099872589111,-1853.59814453125,0.03094877116382122,1801.0,0.08513093739748001,0.11742953956127167,,,,,,,,,,,
6,,,,,,,,,,,,,,,,-0.32362130284309387,0.4155327379703522,-0.010219747200608253,,0.11665590852499008,-0.005950507242232561,-0.008155266754329205,-0.010424009524285793,0.096605084836483,1.0417284965515137,-1696.0560302734375,0.03087775409221649,1801.0,0.07541865110397339,0.12657815217971802,,,,,,,,,,,
7,,,,,,,,,,,,,,,,-0.320748507976532,0.393291711807251,0.6435169577598572,,0.14910128712654114,-0.006094519514590502,-0.007743922062218189,-0.010545549914240837,0.09605058282613754,0.3087693154811859,-1519.66748046875,0.0285393875092268,1801.0,0.0683564618229866,0.13167643547058105,,,,,,,,,,,
8,,,,,,,,,,,,,,,,-0.32246461510658264,0.3734215795993805,1.5349647998809814,,1291.8831787109375,-0.006027168594300747,-0.007460910826921463,-0.009512091986835003,0.09549926221370697,-0.6462327837944031,-1398.3096923828125,0.02618873491883278,1801.0,0.06279643625020981,0.13302573561668396,,,,,,,,,,,
9,,,,,,,,,,,,,,,,-0.3208109736442566,0.36419612169265747,2.6083383560180664,,1291.863037109375,-0.005933952983468771,-0.007310621440410614,-0.009152606129646301,0.0949511006474495,-1.7688852548599243,-1333.864013671875,0.02486298233270645,1801.0,0.05845049023628235,0.13468696177005768,,,,,,,,,,,
10,,,,,,,,,,,,,,,,-0.3156803846359253,0.354160875082016,3.772714853286743,,0.3811066746711731,-0.00578546104952693,-0.007127575576305389,-0.008773607201874256,0.09440609067678452,-2.9680378437042236,-1255.372314453125,0.023377547040581703,1801.0,0.0551418699324131,0.13410182297229767,,,,,,,,,,,
11,,,,,,,,,,,,,,,,-0.3169991672039032,0.3408944606781006,4.820993423461914,,646.5748901367188,-0.006010748445987701,-0.0072947340086102486,-0.00905246939510107,0.09386420249938965,-4.04539155960083,-1327.051513671875,0.022978531196713448,1801.0,0.05299554765224457,0.13412141799926758,,,,,,,,,,,
12,,,,,,,,,,,,,,,,-0.31415751576423645,0.334066241979599,6.010720729827881,,646.14794921875,-0.005043422803282738,-0.006651000585407019,-0.008481482975184917,0.0933254286646843,-5.261655807495117,-1051.012451171875,0.02199532277882099,1801.0,0.05078599229454994,0.13439728319644928,,,,,,,,,,,
13,,,,,,,,,,,,,,,,-0.31438523530960083,0.32457616925239563,7.326350688934326,,0.9090673327445984,-0.0049227578565478325,-0.0063682664185762405,-0.008272767998278141,0.09278974682092667,-6.603696823120117,-929.7732543945312,0.021944310516119003,1801.0,0.04889195039868355,0.13414882123470306,,,,,,,,,,,
